Product ID,Brand,Model
5bffcd46c3,Apple,MacBook Air
8e9c3aaedb,Apple,Macbook Air
24305711ad,Lenovo,Ideapad 1
c796a503a8,Acer,Aspire 5
68848b576a,HP,Victus 15
217f013439,Acer,Nitro 5
822dfcd434,Dell,Vostro 3520
afc24e7af0,HP,Victus 15
ec264ee005,Lenovo,V15 celeron
dc47d36bac,Laptop,Acer Aspire
bbe8bee61c,Dell,Vostro 3520
36c2e1270f,HP,Victus 15-FB1013DX
587405910d,HP,Victus 15
d89205c7ae,Dell,Vostro 3520
dd5ad287ae,HP,Victus 15
c5479808a3,HP,Victus 15
14e6882700,Acer,Nitro V
7f992eb8db,Acer,Nitro V
34741644ab,Lenovo,ideapad Slim
8fe94089f6,lenovo,LEGION 5
ab3627d1f9,Mi,Notebook Pro
b134e200aa,Acer,Aspire 5
0c37e930fd,Acer,Aspire 5
af422d4d01,AVITA,Magus Cosmos
c87feaa0c3,Dell,Celeron 5470
0f245a3661,Acer,Aspire 5
73a4f334a1,Dell,Vostro 3520
c42cd86d26,ASUS,Zephyrus G15
ca07d42844,Dell,Vostro 3520
b34bc59185,Dell,Latitude E5470
849568a084,Dell,Laptop Vostro
05dbfdfc5f,Asus,VivoBook I512th
7e86fa182f,Lenovo,IP Slim
a6b3af13b4,Acer,Nitro 5
e8ef92950f,HP,Victus 15
f1e135a3f7,Dell,Latitude E5300
2f2d30a2b8,Dell,Vostro 3520
a67afa6ad0,Asus,Vivobook Go
c6a79de2b4,Asus,ZenBook 14
e68362eea4,Dell,Inspiron 3511
d02745d817,Dell,Vostro 15
28da0d9362,Lenovo,Ideapad 1
c3940f96bd,Dell,5470 Intel
4e68293e5a,Acer,Swift 3
6ebf92e0ff,CHUWI,GemiBook X
f29ac50b71,Dell,Inspiron 15
a47ad9dbea,ASUS,ZENBOOK 14X
d42de3d98b,Dell,Vostro 3520
08adb7f9eb,Dell,G5 15
065991172b,Acer,Aspire 5
b94ee33971,ASUS,Vivobook Go
f6758eef3e,Acer,Travelmate P2
47cbe94f53,Asus,ZenBook 14x
d4bb88ab23,Lenovo,IdeaPad Slim
9fb005ed56,Asus,Zenbook Q410VA
a923979828,Acer,Predator Helios
7f233a65ba,Acer,Predator Helios
7da74a8789,HP,Pavilion Aero
5281c80695,Lenovo,Legion Slim
a510955e82,Asus,GA401Q Zephyrus-Ryzen
5471477f0b,CHUWI,HeroBook Plus
f10b9c80b9,Asus,Vivobook 14
2580e82854,Asus,Vivobook Flip
4890dd5064,Dell,Inspiron 15
a5f18db7b0,Asus,vivobook pro
9821d768de,Lenovo,ThinkPad P14S
d83e9295f5,HP,Envy x360
e245a615fe,HONOR,MagicBook X14
adf5b28e9f,HP,Pavilion 14
7dd1f9720c,Lenovo,V15 celeron
9176c1a491,Lenovo,IdeaPad Flex
abb9121849,Acer,Aspire 5/Core
b6f229b91c,Lenovo,IdeaPad Slim
4956d86c29,Hp,255 G8
f09ca72499,Dell,Inspiron 3520
2291b2aa43,Dell,Latitude 5480
a17459b25e,Acer,Aspire 3
6e34bcfc72,Dell,Inspiron 3501
f8b75b2a79,Dell,Vostro i5-11th
f45145790e,Dell,Latitude E7390
061bd8c556,GateWay,GWTN156 Ryzen
37484d10c5,Lenovo,IP 3
3b8e6d5cc6,Acer,Aspire 5
09af8451e3,Dell,Vostro 3520
e4e7bb402f,HP,ProBook 440
74b66b6d02,ASUS,Vivo Book
52f98984ef,HP,14 Fq0051Nr
9c093e0d89,HP,Pavilion X360
9dad135aaf,Dell,Vostro 3510
85882e3ea5,HP,Envy x360
acc723533a,Acer,Aspire 5
6490a9be50,Acer,Aspire 3
8d98bc9ef9,Dell,Vostro 3510
d488f50fb8,Dell,Vostro 3510
